TimeAsCustomer,DriverAge,policy_number,policy_bind_date,policy_state,policy_csl,InsuranceAccess,InsurancePremium,umbrella_limit,insured_zip,DriverGender,EducationLevel,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,AccidentType,collision_type,IncidentSeverity,AuthoritiesInvolved,incident_state,incident_city,incident_location,IncidentTime,NumVehiclesInvolved,property_damage,NumBodilyInjuries,witnesses,PoliceReportBool,TotalClaimAmount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,VehicleYear,Fraud,_c39
206,39,965768,2014-07-27,IN,250/500,1000,1302,6000000,603948,MALE,JD,craft-repair,dancing,unmarried,47200,-69700,2015-02-17,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,Hillsdale,1598 3rd Drive,12,3,NO,2,3,YES,36300,3300,9900,23100,Ford,Escape,2013,N,
166,38,414779,1992-11-09,IL,100/300,2000,1589,0,435758,MALE,MD,protective-serv,video-games,unmarried,59600,-32100,2015-01-09,Single Vehicle Collision,Side Collision,Total Loss,Other,WV,Columbus,7740 MLK St,8,1,NO,0,0,NO,40320,5760,5760,28800,Suburu,Impreza,2001,N,
165,32,428230,2012-06-04,IN,500/1000,500,1399,0,611586,FEMALE,High School,tech-support,exercise,own-child,70500,0,2015-02-08,Parked Car,,Minor Damage,Police,PA,Northbrook,1240 Tree Lane,9,1,NO,2,0,NO,3960,330,660,2970,BMW,M5,1998,N,
280,45,718428,2011-07-15,IN,250/500,1000,1398,0,607889,MALE,JD,machine-op-inspct,camping,wife,57900,0,2015-01-22,Multi-vehicle Collision,Front Collision,Minor Damage,Other,NY,Arlington,9034 Weaver Ridge,0,3,YES,1,2,NO,84720,14120,14120,56480,Ford,Escape,1999,N,
194,39,620215,2005-07-27,IN,250/500,500,823,0,455689,MALE,Masters,adm-clerical,paintball,own-child,0,0,2015-02-23,Multi-vehicle Collision,Front Collision,Major Damage,Other,WV,Columbus,1126 Texas Hwy,3,3,NO,2,2,NO,61500,6150,12300,43050,Dodge,RAM,2012,N,
112,27,618659,2005-10-18,OH,100/300,500,965,0,450341,FEMALE,Masters,tech-support,exercise,unmarried,60000,-54800,2015-02-22,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Arlington,2808 Elm St,21,3,NO,0,1,NO,51000,8500,8500,34000,Nissan,Pathfinder,2013,N,
24,33,649082,1996-01-19,IL,500/1000,1000,1923,0,431277,FEMALE,High School,machine-op-inspct,skydiving,wife,0,-45200,2015-01-24,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,Northbend,5061 Francis Ave,0,1,NO,2,1,NO,46800,4680,9360,32760,Jeep,Wrangler,2002,N,
93,32,437573,2005-09-29,OH,250/500,2000,1625,0,454656,MALE,PhD,exec-managerial,basketball,unmarried,65300,-65600,2015-02-09,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,WV,Northbend,4965 MLK Drive,16,1,NO,1,1,NO,78120,17360,8680,52080,BMW,3 Series,2006,N,
200,40,932502,2010-05-11,IL,100/300,1000,1439,0,444822,FEMALE,High School,sales,exercise,other-relative,45300,-20400,2015-01-01,Vehicle Theft,,Minor Damage,Police,VA,Riverwood,2577 Washington Drive,9,1,NO,0,0,NO,3690,410,410,2870,Ford,Escape,2015,N,
120,28,434507,2009-02-06,IL,250/500,1000,1281,0,447442,FEMALE,PhD,tech-support,golf,not-in-family,68900,0,2015-01-07,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Springfield,7709 Rock Lane,9,3,NO,0,3,NO,65500,6550,6550,52400,BMW,X5,2010,N,
325,46,935277,2013-07-09,IL,500/1000,500,1349,0,474360,FEMALE,High School,prof-specialty,basketball,wife,46300,-77500,2015-02-01,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,NC,Springfield,9358 Texas Ridge,21,3,NO,1,2,YES,76120,13840,6920,55360,Toyota,Camry,1999,N,
124,32,756054,1992-06-06,IL,250/500,1000,1198,0,447925,FEMALE,MD,other-service,hiking,not-in-family,0,-43200,2015-02-21,Multi-vehicle Collision,Front Collision,Total Loss,Other,VA,Springfield,8080 Oak Lane,19,3,NO,0,2,YES,73560,12260,12260,49040,BMW,X5,1995,N,
